order_id,customer_name,product,category,quantity,price,total_amount,order_date
ORD96563,Rahul Malhotra,Sandals,Footwear,2,999,1998,2025-04-09
ORD82350,Priya Verma,Sneakers,Footwear,2,2499,4998,2025-04-06
ORD69048,Priya Verma,Sneakers,Footwear,1,2499,2499,2025-04-14
ORD14278,Divya Rani,Handbag,Accessories,4,2499,9996,2025-04-10
ORD69510,Neha Gupta,Wrist Watch,Accessories,3,1999,5997,2025-04-23
ORD91927,Priya Verma,Sandals,Footwear,3,999,2997,2025-04-26
ORD81376,Ritu Jain,Sandals,Footwear,4,999,3996,2025-04-04
ORD28643,Neha Gupta,Sneakers,Footwear,3,2499,7497,2025-04-27
ORD50319,Priya Verma,T-Shirt,Clothing,2,499,998,2025-04-26
ORD26299,Ritu Jain,Handbag,Accessories,3,2499,7497,2025-04-15
ORD75597,Pooja Iyer,Wrist Watch,Accessories,4,1999,7996,2025-04-09
ORD88385,Anil Kumar,Kurta,Clothing,4,899,3596,2025-04-03
ORD42816,Amit Sharma,Saree,Clothing,3,1999,5997,2025-04-20
ORD85392,Amit Sharma,Jeans,Clothing,2,1299,2598,2025-04-22
ORD15273,Ritu Jain,T-Shirt,Clothing,3,499,1497,2025-04-19
ORD95394,Rahul Malhotra,Sneakers,Footwear,4,2499,9996,2025-04-17
ORD67132,Pooja Iyer,Wrist Watch,Accessories,2,1999,3998,2025-04-19
ORD55607,Arjun Kapoor,Kurta,Clothing,1,899,899,2025-04-16
ORD23710,Vikas Yadav,Backpack,Accessories,3,1499,4497,2025-04-22
ORD74942,Simran Kaur,Sneakers,Footwear,3,2499,7497,2025-04-14
ORD69614,Karan Mehta,Saree,Clothing,5,1999,9995,2025-04-02
ORD25194,Priya Verma,Backpack,Accessories,3,1499,4497,2025-04-11
ORD10150,Rahul Malhotra,Saree,Clothing,5,1999,9995,2025-04-27
ORD17104,Arjun Kapoor,Formal Shoes,Footwear,4,2799,11196,2025-04-14
ORD75338,Neha Gupta,Formal Shoes,Footwear,3,2799,8397,2025-04-20
ORD45003,Arjun Kapoor,Kurta,Clothing,1,899,899,2025-04-07
ORD73532,Anil Kumar,Sneakers,Footwear,3,2499,7497,2025-04-15
ORD41365,Priya Verma,T-Shirt,Clothing,5,499,2495,2025-04-26
ORD11792,Divya Rani,Sneakers,Footwear,3,2499,7497,2025-04-18
ORD24871,Anil Kumar,Saree,Clothing,1,1999,1999,2025-04-08
ORD48254,Pooja Iyer,Jeans,Clothing,2,1299,2598,2025-04-16
ORD73242,Anil Kumar,Wrist Watch,Accessories,4,1999,7996,2025-04-27
ORD28958,Pooja Iyer,Sandals,Footwear,4,999,3996,2025-04-18
ORD27892,Vikas Yadav,Sandals,Footwear,5,999,4995,2025-04-17
ORD64387,Simran Kaur,Jeans,Clothing,3,1299,3897,2025-04-25
ORD10336,Sneha Joshi,Formal Shoes,Footwear,3,2799,8397,2025-04-27
ORD96499,Karan Mehta,Wrist Watch,Accessories,5,1999,9995,2025-04-19
ORD73483,Pooja Iyer,Sneakers,Footwear,4,2499,9996,2025-04-18
ORD81228,Sneha Joshi,Backpack,Accessories,5,1499,7495,2025-04-25
ORD34727,Vikas Yadav,Kurta,Clothing,3,899,2697,2025-04-28
ORD40613,Divya Rani,Sandals,Footwear,5,999,4995,2025-04-13
ORD71993,Simran Kaur,Saree,Clothing,1,1999,1999,2025-04-11
ORD95461,Divya Rani,Saree,Clothing,4,1999,7996,2025-04-22
ORD75836,Rohit Singh,Kurta,Clothing,1,899,899,2025-04-05
ORD67711,Ritu Jain,Backpack,Accessories,1,1499,1499,2025-04-28
ORD28894,Priya Verma,Formal Shoes,Footwear,4,2799,11196,2025-04-01
ORD44737,Vikas Yadav,Sneakers,Footwear,1,2499,2499,2025-04-16
ORD20527,Sneha Joshi,Handbag,Accessories,4,2499,9996,2025-04-21
ORD51505,Simran Kaur,Backpack,Accessories,5,1499,7495,2025-04-13
ORD90931,Arjun Kapoor,Kurta,Clothing,5,899,4495,2025-04-02
ORD21846,Priya Verma,Sandals,Footwear,3,999,2997,2025-04-08
ORD31805,Vikas Yadav,Jeans,Clothing,1,1299,1299,2025-04-15
ORD52516,Divya Rani,Wrist Watch,Accessories,1,1999,1999,2025-04-02
ORD59131,Rahul Malhotra,T-Shirt,Clothing,3,499,1497,2025-04-12
ORD64008,Vikas Yadav,Sneakers,Footwear,2,2499,4998,2025-04-17
ORD20350,Ritu Jain,Sneakers,Footwear,2,2499,4998,2025-04-06
ORD41566,Ritu Jain,Saree,Clothing,5,1999,9995,2025-04-22
ORD70443,Pooja Iyer,Handbag,Accessories,2,2499,4998,2025-04-08
ORD97404,Arjun Kapoor,Wrist Watch,Accessories,4,1999,7996,2025-04-09
ORD81643,Amit Sharma,Kurta,Clothing,3,899,2697,2025-04-22
ORD87014,Rohit Singh,Jeans,Clothing,4,1299,5196,2025-04-12
ORD49599,Karan Mehta,Saree,Clothing,3,1999,5997,2025-04-15
ORD41091,Neha Gupta,Saree,Clothing,4,1999,7996,2025-04-04
ORD48780,Vikas Yadav,Handbag,Accessories,3,2499,7497,2025-04-19
ORD96275,Divya Rani,Wrist Watch,Accessories,1,1999,1999,2025-04-27
ORD99889,Vikas Yadav,Wrist Watch,Accessories,1,1999,1999,2025-04-19
ORD75107,Rahul Malhotra,T-Shirt,Clothing,5,499,2495,2025-04-24
ORD56179,Simran Kaur,Wrist Watch,Accessories,2,1999,3998,2025-04-20
ORD98835,Neha Gupta,Sandals,Footwear,5,999,4995,2025-04-09
ORD92242,Rahul Malhotra,Sneakers,Footwear,1,2499,2499,2025-04-29
ORD67779,Arjun Kapoor,T-Shirt,Clothing,3,499,1497,2025-04-26
ORD27224,Amit Sharma,Handbag,Accessories,3,2499,7497,2025-04-24
