order_id,customer_name,product,category,quantity,price,total_amount,order_date
ORD46048,Arjun Kapoor,Jeans,Clothing,1,1299,1299,2025-03-24
ORD23434,Neha Gupta,Sandals,Footwear,2,999,1998,2025-03-24
ORD65302,Arjun Kapoor,Formal Shoes,Footwear,1,2799,2799,2025-03-19
ORD40495,Amit Sharma,T-Shirt,Clothing,1,499,499,2025-03-07
ORD36062,Anil Kumar,Handbag,Accessories,1,2499,2499,2025-03-18
ORD68878,Divya Rani,Formal Shoes,Footwear,4,2799,11196,2025-03-08
ORD30926,Ritu Jain,Wrist Watch,Accessories,1,1999,1999,2025-03-25
ORD30379,Divya Rani,Saree,Clothing,3,1999,5997,2025-03-09
ORD59797,Neha Gupta,Backpack,Accessories,1,1499,1499,2025-03-03
ORD44671,Priya Verma,Backpack,Accessories,3,1499,4497,2025-03-20
ORD26361,Rahul Malhotra,T-Shirt,Clothing,4,499,1996,2025-03-18
ORD48427,Sandeep Rao,Saree,Clothing,1,1999,1999,2025-03-18
ORD35203,Simran Kaur,Handbag,Accessories,3,2499,7497,2025-03-19
ORD39871,Divya Rani,Jeans,Clothing,1,1299,1299,2025-03-22
ORD40512,Rahul Malhotra,Wrist Watch,Accessories,1,1999,1999,2025-03-28
ORD69429,Simran Kaur,Jeans,Clothing,4,1299,5196,2025-03-09
ORD56566,Arjun Kapoor,Backpack,Accessories,2,1499,2998,2025-03-12
ORD93227,Neha Gupta,Wrist Watch,Accessories,1,1999,1999,2025-03-20
ORD70589,Rohit Singh,Formal Shoes,Footwear,2,2799,5598,2025-03-06
ORD99733,Vikas Yadav,Wrist Watch,Accessories,5,1999,9995,2025-03-08
ORD14207,Sneha Joshi,T-Shirt,Clothing,2,499,998,2025-03-27
ORD18675,Rahul Malhotra,Backpack,Accessories,4,1499,5996,2025-03-09
ORD95909,Neha Gupta,Handbag,Accessories,3,2499,7497,2025-03-07
ORD44718,Pooja Iyer,Saree,Clothing,4,1999,7996,2025-03-05
ORD44438,Rohit Singh,Sandals,Footwear,5,999,4995,2025-03-18
ORD86484,Divya Rani,Handbag,Accessories,4,2499,9996,2025-03-29
ORD76784,Vikas Yadav,Backpack,Accessories,2,1499,2998,2025-03-05
ORD24371,Pooja Iyer,Jeans,Clothing,1,1299,1299,2025-03-28
ORD18326,Rohit Singh,Sneakers,Footwear,4,2499,9996,2025-03-20
ORD79352,Vikas Yadav,Saree,Clothing,5,1999,9995,2025-03-15
ORD25014,Karan Mehta,Formal Shoes,Footwear,1,2799,2799,2025-03-22
ORD94012,Arjun Kapoor,Formal Shoes,Footwear,3,2799,8397,2025-03-25
ORD30730,Sneha Joshi,Jeans,Clothing,3,1299,3897,2025-03-14
ORD33416,Pooja Iyer,T-Shirt,Clothing,3,499,1497,2025-03-17
ORD93748,Anil Kumar,Jeans,Clothing,3,1299,3897,2025-03-27
ORD59009,Anil Kumar,Handbag,Accessories,2,2499,4998,2025-03-05
ORD79514,Rahul Malhotra,Sneakers,Footwear,5,2499,12495,2025-03-31
ORD74042,Sandeep Rao,T-Shirt,Clothing,5,499,2495,2025-03-11
ORD50306,Amit Sharma,Jeans,Clothing,3,1299,3897,2025-03-29
ORD84364,Neha Gupta,T-Shirt,Clothing,2,499,998,2025-03-29
ORD19071,Priya Verma,Jeans,Clothing,4,1299,5196,2025-03-27
ORD96474,Rahul Malhotra,Formal Shoes,Footwear,2,2799,5598,2025-03-05
ORD79163,Pooja Iyer,Formal Shoes,Footwear,2,2799,5598,2025-03-09
ORD37760,Simran Kaur,Handbag,Accessories,4,2499,9996,2025-03-31
